Country,Year,Disease Name,Disease Category,PrevalenceRate,IncidenceRate,MortalityRate,AgeMin,AgeMax,Gender,Population Affected,HealthcareAccess,Doctors per 1000,Hospital Beds per 1000,Treatment Type,AvgTreatmentCost USD,VaccineAvailable,RecoveryRate,DALYs,Improvement5Yr,PerCapitaIncomeUSD,UrbanizationRate,Disease Category.1,RecoveryRateFlag,CostCategory,IsHighRisk,TestErrorCheck,TestErrorCheck.1
Italy,2013,Malaria,Respiratory,0.95,1.55,8.42,0,18,Male,471007,57.74,3.34,7.58,Medication,21064,No,91.82,4493,2.16,16886,86.02,Parasitic,OK,Medium,High Risk,0,
Usa,2013,Malaria,Cardiovascular,18.42,6.33,9.33,61,60,Female,289931,90.03,3.16,3.31,Surgery,15579,No,92.8,4535,0.89,60027,20.48,Parasitic,OK,Medium,High Risk,0,
Australia,2006,Alzheimer'S Disease,Bacterial,13.39,13.85,4.04,61,60,Male,134472,90.34,2.8,6.73,Surgery,44696,Yes,58.67,3088,5.51,23813,57.71,Neurological,OK,High,Low Risk,0,
France,2002,Ebola,Parasitic,12.46,8.63,8.75,61,60,Male,634318,89.21,1.33,5.11,Surgery,47851,Yes,76.65,2366,4.82,80639,45.52,Viral,OK,High,High Risk,0,
Turkey,2015,Covid-19,Genetic,0.91,2.35,6.22,36,60,Male,154878,56.41,4.07,3.49,Vaccination,27834,Yes,98.55,41,5.81,12245,40.2,Viral,OK,High,High Risk,0,
Indonesia,2011,Parkinson'S Disease,Autoimmune,4.68,6.29,3.99,0,18,Other,446224,85.2,3.18,8.44,Surgery,144,Yes,67.35,3201,2.22,49336,58.47,Neurological,OK,Low,Low Risk,0,
Mexico,2009,Cancer,Metabolic,3.88,10.85,1.85,0,18,Male,462950,71.06,4.08,6.22,Vaccination,36202,Yes,63.54,2797,3.16,30015,29.05,Chronic,OK,High,Low Risk,0,
Italy,2013,Tuberculosis,Genetic,0.83,13.59,7.01,61,60,Male,472908,67,4.61,5.9,Medication,8908,Yes,50.06,2832,6.93,47701,48.14, Bacterial,OK,Low,High Risk,0,
Nigeria,2007,Tuberculosis,Neurological,3.48,5.71,1.21,0,18,Female,393296,75.6,0.54,3.54,Medication,15744,Yes,65.45,4584,9.81,23222,66.49, Bacterial,OK,Medium,Low Risk,0,
Australia,2006,Cholera,Chronic,10.12,2.08,6,61,60,Male,174143,95.9,4.63,6.01,Medication,9468,Yes,93.21,4694,2.96,68856,83.3,Bacterial,OK,Low,High Risk,0,
Saudi Arabia,2011,Dengue,Bacterial,10.99,6.49,4.64,61,60,Female,479234,98.41,3.5,0.62,Therapy,42671,Yes,93.17,416,9.83,29597,56.5,Viral,OK,High,Low Risk,0,
